,,,
Apples,Raspberries,Bananas,Oatmeal
Bananas,Salmon,Milk,Oatmeal
Blackberries,Soda,Bananas,Oatmeal
Blueberries,Spinach,Bananas,Oatmeal
Butter,Steak,Bananas,Milk
Carrots,Strawberries,Bananas,Milk
Celery,Tuna,Bananas,Milk
Cereal,Turkey,Milk,Carrots
Cheese,Watermelon,Carrots,
Chicken,Yogurt,Carrots,Milk
Clementines,Carrots,Milk,
Coffee,Bananas,Oatmeal,
Grapefruit,Bananas,Oatmeal,
Ham,Bananas,Milk,
Juice,Bananas,Oatmeal,Milk
Milk,Oatmeal,Bananas,
Oatmeal,Milk,Bananas,
Oranges,,,
Peaches,Milk,Oatmeal,Bananas
Plums,Milk,Oatmeal,Bananas
